symbol,date,day_open,day_close,day_high,day_low,day_volume
AABA,2018-01-02,70.77,73.13,73.35,70.55,11437264
AABA,2018-01-03,73.5,73.78,73.86,72.77,7401726
AABA,2018-01-04,74.1,74.57,75.21,74.01,8290882
AABA,2018-01-05,75.08,76.49,76.57,74.91,6284834
AABA,2018-01-08,76.21,76.48,76.81,75.98,5288273
AABA,2018-01-09,77.02,76.59,77.23,75.83,4907416
AABA,2018-01-10,75.76,76.51,76.66,75.45,14777941
AABA,2018-01-11,76.54,76.14,76.78,76.04,9457918
AABA,2018-01-12,76.45,75.85,76.59,75.68,4078360
AABA,2018-01-16,76.44,73.92,77.01,73.71,7014089
AABA,2018-01-17,74.41,74.14,74.6,72.86,4934217
AABA,2018-01-18,73.86,74.23,74.71,73.72,5404561
AABA,2018-01-19,74.39,74.36,74.67,73.71,7203338
AABA,2018-01-22,74.6,74.16,74.6,73.58,5015449
AABA,2018-01-23,74.66,76.57,76.76,74.0,13687701
AABA,2018-01-24,77.13,77.81,78.88,76.78,6296999
AABA,2018-01-25,78.45,78.58,78.99,77.32,7840688
AABA,2018-01-26,79.21,80.3,80.45,79.0,17423391
AABA,2018-01-29,80.0,79.34,80.43,78.97,9719566
AABA,2018-01-30,77.58,78.27,79.27,76.76,7326518
AABA,2018-01-31,79.0,79.88,80.56,79.0,6639164
AABA,2018-02-01,76.48,76.01,78.36,75.69,8098044
AABA,2018-02-02,76.45,74.4,76.7,74.17,8326954
AABA,2018-02-05,72.9,72.51,75.38,71.59,10552374
AABA,2018-02-06,70.02,73.53,73.67,69.59,7436486
AABA,2018-02-07,73.16,72.16,74.19,72.1,3373111
AABA,2018-02-08,72.55,69.15,72.78,69.1,5742025
AABA,2018-02-09,70.57,70.48,70.77,67.86,6129819
AABA,2018-02-12,71.19,71.1,71.78,70.27,2654021
AABA,2018-02-13,70.72,71.31,72.44,70.55,5535298
AABA,2018-02-14,70.88,73.66,73.73,70.88,8043466
AABA,2018-02-15,74.25,74.4,74.7,73.23,4274181
AABA,2018-02-16,74.46,73.51,74.98,73.3,6982213
AABA,2018-02-20,72.83,74.59,75.26,72.78,5574265
AABA,2018-02-21,75.26,75.11,76.71,75.04,7147715
AABA,2018-02-22,75.83,75.52,75.99,75.06,9369245
AABA,2018-02-23,76.5,77.76,77.78,76.1,16053072
AABA,2018-02-26,78.43,78.08,78.68,76.71,18350174
AABA,2018-02-27,77.86,76.13,78.0,75.77,12425652
AABA,2018-02-28,75.91,74.85,76.08,74.51,8566538
AABA,2018-03-01,75.04,73.74,75.39,72.91,9733106
AABA,2018-03-02,72.35,72.69,72.99,71.43,7649365
AABA,2018-03-05,72.2,73.44,73.57,71.77,6524384
